crl,du.t21,du.t18,du.t13
74.7,0.92,0.98,0.94
74.8,0.92,0.98,0.93
74.9,0.92,0.98,0.93
75,0.92,0.98,0.93
75.1,0.92,0.98,0.93
75.2,0.92,0.98,0.93
75.3,0.92,0.97,0.93
75.4,0.92,0.97,0.93
75.5,0.92,0.97,0.93
75.6,0.92,0.97,0.93
75.7,0.92,0.97,0.93
75.8,0.92,0.97,0.93
75.9,0.92,0.97,0.93
76,0.92,0.97,0.93
76.1,0.92,0.97,0.93
76.2,0.92,0.97,0.93
76.3,0.92,0.97,0.93
76.4,0.92,0.97,0.93
76.5,0.92,0.97,0.93
76.6,0.92,0.97,0.93
76.7,0.92,0.97,0.93
76.8,0.92,0.97,0.93
76.9,0.92,0.97,0.93
77,0.91,0.97,0.93
77.1,0.91,0.97,0.93
77.2,0.91,0.97,0.92
77.3,0.91,0.97,0.92
77.4,0.91,0.97,0.92
77.5,0.91,0.97,0.92
77.6,0.91,0.97,0.92
77.7,0.91,0.96,0.92
77.8,0.91,0.96,0.92
77.9,0.91,0.96,0.92
78,0.91,0.96,0.92
78.1,0.91,0.96,0.92
78.2,0.91,0.96,0.92
78.3,0.91,0.96,0.92
78.4,0.91,0.96,0.92
78.5,0.91,0.96,0.92
78.6,0.91,0.96,0.92
78.7,0.91,0.96,0.92
78.8,0.91,0.96,0.92
78.9,0.91,0.96,0.92
79,0.91,0.96,0.92
79.1,0.9,0.96,0.92
79.2,0.9,0.96,0.92
79.3,0.9,0.96,0.91
79.4,0.9,0.96,0.91
79.5,0.9,0.96,0.91
79.6,0.9,0.96,0.91
79.7,0.9,0.96,0.91
79.8,0.9,0.96,0.91
79.9,0.9,0.95,0.91
80,0.9,0.95,0.91
80.1,0.9,0.95,0.91
80.2,0.9,0.95,0.91
80.3,0.9,0.95,0.91
80.4,0.9,0.95,0.91
80.5,0.9,0.95,0.91
80.6,0.9,0.95,0.91
80.7,0.9,0.95,0.91
80.8,0.9,0.95,0.91
80.9,0.9,0.95,0.91
81,0.9,0.95,0.91
81.1,0.89,0.95,0.91
81.2,0.89,0.95,0.9
81.3,0.89,0.95,0.9
81.4,0.89,0.95,0.9
81.5,0.89,0.95,0.9
81.6,0.89,0.95,0.9
81.7,0.89,0.95,0.9
81.8,0.89,0.95,0.9
81.9,0.89,0.94,0.9
82,0.89,0.94,0.9
82.1,0.89,0.94,0.9
82.2,0.89,0.94,0.9
82.3,0.89,0.94,0.9
82.4,0.89,0.94,0.9
82.5,0.89,0.94,0.9
82.6,0.89,0.94,0.9
82.7,0.89,0.94,0.9
82.8,0.89,0.94,0.9
82.9,0.88,0.94,0.9
83,0.88,0.94,0.89
83.1,0.88,0.94,0.89
83.2,0.88,0.94,0.89
83.3,0.88,0.94,0.89
83.4,0.88,0.94,0.89
83.5,0.88,0.94,0.89
83.6,0.88,0.94,0.89
83.7,0.88,0.93,0.89
83.8,0.88,0.93,0.89
83.9,0.88,0.93,0.89
84,0.88,0.93,0.89
